,人,风,山,无,日,一,云,来,天
人,0,11030,11388,12036,10824,10880,9348,9338,8810
风,11030,0,9572,8942,9722,8972,8736,7674,7754
山,11388,9572,0,8784,9056,8464,10288,7518,7250
无,12036,8942,8784,0,8634,8808,7374,7436,6996
日,10824,9722,9056,8634,0,8226,8096,7306,7336
一,10880,8972,8464,8808,8226,0,7554,7292,6924
云,9348,8736,10288,7374,8096,7554,0,6334,7512
来,9338,7674,7518,7436,7306,7292,6334,0,5802
天,8810,7754,7250,6996,7336,6924,7512,5802,0
